,Notiosorex,crawfordi,Desert shrew                  
1,Sylvilagus,audubonii,Desert cottontail             
1,Lepus,californicus,Black-tailed jackrabbit       
,Spermophilus,spilosoma,Spotted ground squirrel       
,Spermophilus,variegatus,Rock squirrel                 
,Thomomys,bottae,Botta's pocket gopher         
,Perognathus,flavus,Silky pocket mouse            
,Chaetodipus,intermedius,Rock pocket mouse             
,Chaetodipus,penicillatus,Desert pocket mouse           
?,Dipodomys,merriami,Merriam's kangaroo rat        
?,Dipodomys,ordii,Ord's kangaroo rat            
?,Dipodomys,spectabilis,Banner-tailed kangaroo rat    
,Peromyscus,boylii,Brush mouse                   
,Peromyscus,eremicus,Cactus mouse                  
,Peromyscus,leucopus,White-footed mouse            
,Peromyscus,maniculatus,Deer mouse                    
,Onychomys,arenicola,Mearns' grasshopper mouse     
,Onychomys,leucogaster,Northern grasshopper mouse    
,Neotoma,albigula,White-throated woodrat        
,Neotoma,micropus,Southern plains woodrat       
,Mus,musculus,House mouse                   
,Erethizon,dorsatum,Common porcupine              
1,Canis,latrans,Coyote                        
,Vulpes,velox,Kit fox              
,Vulpes,vulpes,Red fox                       
,Urocyon,cinereoargenteus,Common gray fox               
1,Bassariscus,astutus,Ringtail                      
,Taxidea,taxus,American badger               
,Lynx,rufus,Bobcat                        
,Odocoileus,hemionus,Mule deer                     
1,Antilocapra,americana,Pronghorn                     
,Oryx,gazella,oryx 
1,Lepus,californicus,black tailed jackrabbit
?,Lepus,alleni,antelope jackrabbit
,Citellus,harrisi,gray-tailed antelope squirrel
,Citellus,tereticaudus,round-tailed ground squirrel
,Perognathus,amplus,Arizona pocket mouse
,Perognathus,baileyi,Bailey pocket mouse
,Perognathus,penicillatus,Desert pocket mouse           
?,Dipodomys,spectabilis,Banner-tailed kangaroo rat    
?,Dipodomys,merriami,Merriam's kangaroo rat        
,Reithrodontomys,megalotis,desert harvest mouse
,Peromyscus,merriami,Merriam mouse
,Onychomys,leucogaster,Grasshopper mouse
,Neotoma,albigula,white-throated packrat
1,Canis ,latrans,coyote
,Urocyon,cinereoargenteus,gray fox
1,Bassariscus,astutus,Ringtail                      
,Taxidea,taxus,Badger
1,Mephitis,mephitis,common stiped skunk
,Conepatus,mesoleucus,wester rooter skunk
,Lynx,rufus,bobcat
,Tayassu,tajacu,collared pecary
1,Odocoileus,virginianus,white-tailed deer
?,Odocoileus,hemionus,mule deer
1,Ursus ,americanus,Black bear
1,Nasua ,narica,White-nosed Coati 
